id,filename,url,points
#########
# germany big cities up to 20k inhabitants
#########
Görlitz,goerlitz.json,https://data.whosonfirst.org/101/748/727/101748727.geojson
Eschweiler,,https://data.whosonfirst.org/101/748/617/101748617.geojson
Hameln,,https://data.whosonfirst.org/101/748/783/101748783.geojson
Göppingen,goeppingen.json,https://data.whosonfirst.org/101/748/499/101748499.geojson
Euskirchen,,https://data.whosonfirst.org/101/748/597/101748597.geojson
Unna,,https://data.whosonfirst.org/101/748/733/101748733.geojson
Neu-Ulm,,https://data.whosonfirst.org/101/748/487/101748487.geojson
Kleve,,https://data.whosonfirst.org/101/839/507/101839507.geojson
Ibbenbüren,ibbenbueren.json,https://data.whosonfirst.org/101/748/809/101748809.geojson
Wolfenbüttel,wolfenbuettel.json,https://data.whosonfirst.org/101/748/793/101748793.geojson
Passau,,https://data.whosonfirst.org/101/748/495/101748495.geojson
Frechen,,https://data.whosonfirst.org/101/810/319/101810319.geojson
Ahlen,,https://data.whosonfirst.org/101/748/769/101748769.geojson
Wetzlar,,https://data.whosonfirst.org/101/748/599/101748599.geojson
Rastatt,,https://data.whosonfirst.org/101/761/891/101761891.geojson
Erftstadt,,https://data.whosonfirst.org/101/748/637/101748637.geojson
Elmshorn,,https://data.whosonfirst.org/101/838/093/101838093.geojson
Peine,,https://data.whosonfirst.org/101/807/589/101807589.geojson
Böblingen,boeblingen.json,https://data.whosonfirst.org/101/755/903/101755903.geojson
Emden,,https://data.whosonfirst.org/101/748/839/101748839.geojson
Speyer,,https://data.whosonfirst.org/101/748/531/101748531.geojson
Willich,,https://data.whosonfirst.org/101/748/687/101748687.geojson
Ravensburg,,https://data.whosonfirst.org/101/828/649/101828649.geojson
Gummersbach,,https://data.whosonfirst.org/101/748/653/101748653.geojson
Goslar,,https://data.whosonfirst.org/101/820/883/101820883.geojson
Bornheim,,https://data.whosonfirst.org/101/808/839/101808839.geojson
Cuxhaven,,https://data.whosonfirst.org/101/748/853/101748853.geojson
Rheda-Wiedenbrück,rheda-wiedenbrueck.json,https://data.whosonfirst.org/101/809/097/101809097.geojson
Frankenthal,,https://data.whosonfirst.org/101/755/923/101755923.geojson
Freising,,https://data.whosonfirst.org/101/785/505/101785505.geojson
Bergkamen,,https://data.whosonfirst.org/101/748/731/101748731.geojson
Leonberg,,https://data.whosonfirst.org/117/561/129/9/1175611299.geojson
Lörrach,loerrach.json,https://data.whosonfirst.org/101/828/631/101828631.geojson
Alsdorf,,https://data.whosonfirst.org/101/811/035/101811035.geojson
Hennef (Sieg),hennef.json,https://data.whosonfirst.org/101/907/381/101907381.geojson,50.755883|7.329426
Dachau,,https://data.whosonfirst.org/101/785/371/101785371.geojson
Soest,,https://data.whosonfirst.org/101/810/239/101810239.geojson
Stade,,https://data.whosonfirst.org/101/806/539/101806539.geojson
Singen (Hohentwiel),singen.json,https://data.whosonfirst.org/101/828/641/101828641.geojson
Straubing,,https://data.whosonfirst.org/101/783/029/101783029.geojson
Gronau (Westfalen),gronau.json,https://data.whosonfirst.org/101/807/567/101807567.geojson
Oranienburg,,https://data.whosonfirst.org/101/907/977/101907977.geojson,52.771728|13.286671
Bruchsal,,https://data.whosonfirst.org/101/826/709/101826709.geojson
Rodgau,,https://data.whosonfirst.org/101/811/757/101811757.geojson
